# workspace-probe-retirements.tsv — A PROBE IS RETIRED BY ITS OWN AUTHOR, HERE.
#
# Read by engine/scripts/workspace-probes.py. TWO shapes, both live:
#
#     <probe filename>	<case>	<who retired it>	<why that CASE is obsolete>
#     <probe filename>	<who retired it>	<why the whole FILE is obsolete>
#
# PER CASE IS THE ONE TO USE. Retirement used to be keyed on the FILE, and a
# reviewer who found three of his cases obsolete and one still valid therefore
# wrote NOTHING -- retiring his file would have dropped five GREEN assertions to
# buy one green exit code. He was right to refuse that trade; the mechanism was
# what made it a trade. Per case, the probe goes on running and only the retired
# cases are not asked. `*` in the case field is the explicit whole-file form.
#
# THE THREE-FIELD LINES BELOW ARE NOT REWRITTEN AND MUST NOT BE. The runner
# derives the commit that introduced each line and refuses a retirement whose
# only witness is the branch under test; reformatting a reviewer's line would make
# the ENGINEER the author of that commit, and the reviewer's own retirement would
# then be refused. Only this comment block changed.
#
# The runner checks <who> against the author the probe's own file name carries
# and REFUSES a retirement signed by anyone else. It then asks git three things
# the party failing the probe cannot answer from inside its own work: the line is
# COMMITTED, its commit touches nothing outside docs/verification/, and that
# commit is contained in a branch other than the one under test. An engineer
# failing a probe is the person least able to tell "this assertion is obsolete"
# from "I broke it", so a retirement is never his to write -- and a typed name
# was never proof that it was not.
certification-sage-attribution-2026-09-12.probe.py	sage	Obsolete: its premise is attribution by POSSESSION, which I certified at b728514b and which 84e12d32 replaced with attribution by recorded CREATION, with my agreement in certification-sage-recorded-attribution-2026-09-12.md ("The mechanism is right"). Its harness drives barrier() alone and never observe(), so under the Pre/Post pair every scenario now reports created_branches [] and the probe observes nothing. Its RED is a second obsolescence on top of that: two scenarios call land() outside a try and the fixture records no integration branch, which point 14 has required before the first spawn since 2bc413df. Recording it makes all eight scenarios exit 0 — measured, and the output is in certification-sage-runner-round-2026-09-12.md. It asserts nothing by construction (the runner calls this shape OBSERVED), so nothing is carried forward.
certification-sage-recorded-attribution-2026-09-12.probe.py	sage	Obsolete as a FILE, and its live half is carried forward to certification-sage-runner-round-2026-09-12.probe.py, which is green 10/10. S2 and S6 are about the first-registration floor, deleted at 556d3e62 because my own D1 said point 14 forbids it; S8's question ("when is the floor written") has no subject left. S3 and S9 are fixture: S3 holds once the integration branch is recorded and S9 unlinks an integration.json that nothing writes any more. S10's predicate demanded that a branch carrying an unmerged commit be deleted at the land, which point 8 forbids; my own c4 case A states the same scenario correctly (the harm is a land that reports LANDED with nothing pending) and is green. S5 is NOT obsolete — a ref Rich cuts at the agent's own unlanded tip is declared out of this round's scope — so it is carried forward as R10, which asserts the in-scope half and prints the rest.
workspace-call-window-and-recorded-target.probe.py	no-record-refuses	the engineer	Obsolete since round 7 (2026-09-12): the case asserts that with no integration branch recorded the LAND refuses and names the command — the base's "heals later" reading. Both round-6 reviewers ruled that reading a guess (certification-sage-round6 §2 S1–S4, certification-frank-round6 §5: an agent bound to nothing is judged against whichever body of work is current at land time) and the page's own ordering is now enforced where it says — the SPAWN is refused with nothing recorded (register_spawn, point 14), so the scenario cannot exist for a spawned agent. The sentence it held the build to is now asked by the fourteen at C14.1, with the mutant R-p14-spawn-not-refused-without-a-record, and by workspaces.test.py test_point_14_the_integration_branch_is_recorded_never_inferred.
workspace-call-window-and-recorded-target.probe.py	late-record-heals	the engineer	Obsolete since round 7 (2026-09-12), for the same reason as no-record-refuses: "recorded AFTER the agent was registered, the same land then succeeds" is the heal both reviewers ruled a guess. A spawn with nothing recorded is refused, so nothing is registered before the record exists; the one record that can still be bound to nothing — a workspace the point-3 sweep found unregistered — binds at the first sweep after a body of work exists and is refused until then, never read against "current" (test_point_14_a_record_bound_to_nothing_is_refused_never_guessed, mutant p14-nothing-bound-falls-back-to-current).
workspace-call-window-and-recorded-target.probe.py	no-floor-written	the engineer	Obsolete since round 7 (2026-09-12): the case registered an agent with nothing recorded to prove no floor was written and nothing frozen onto it; with the spawn refused there is no registration to inspect. The property it asserted — a registration derives nothing and freezes nothing — is asked without a spawn by test_point_14_the_integration_branch_is_recorded_never_inferred (a session start with nothing recorded records nothing; mutant p14-floor-restored) and, after the record exists, by its assertion that no branch is frozen onto the agent (mutant p14-frozen-copy-restored).
certification-sage-runner-round-2026-09-12.probe.py	R4	sage	Obsolete since round 7 (2026-09-12). R4 spawned zach-opus-r4 with NOTHING recorded and asserted that the LAND refuses, names the recording command, and then succeeds once dev/work is recorded — the "heals later" reading I myself ruled a guess in certification-sage-round6 §2 (S1–S4: an agent bound to nothing is judged against whichever body of work is current at land time). Round 7 refuses the SPAWN (register_spawn → _refuse_unrecorded, point 14: "before its first agent is spawned"), so the case's first act, s.spawn() with no record, raises SpecError and the scenario cannot exist for a spawned agent — measured at 44a7d5d4: held 9/10, NOT HELD R4, EXCEPTION SpecError "no branch is recorded ... the spawn of zach-opus-r4 is refused". Its live halves are asked elsewhere and I verified each at 44a7d5d4: "nothing is inferred before the first spawn" and "the refusal NAMES the command" are C14.1 (mutant R-p14-spawn-not-refused-without-a-record) and test_point_14_the_integration_branch_is_recorded_never_inferred; "nothing frozen onto the agent record" is the same test under mutant p14-frozen-copy-restored; "recording it afterwards makes the land succeed" has no subject for a spawned agent, and for the one record that can still be bound to nothing (an orphan the point-3 sweep found) it is test_point_14_a_record_bound_to_nothing_is_refused_never_guessed. R1–R3 and R5–R10 stand and keep running: 9/9 held at 44a7d5d4 with R4 excluded. The literal CASES list the runner reads was added to the probe in the commit before this one so that R4 could be retired per case instead of the file whole.
certification-sage-window-and-target-2026-09-12.probe.py	escalation-stray	sage	Obsolete since round 7 (2026-09-12). Case B spawned zach-opus-e1 into a repository with NO recorded integration branch (RECORD ""), created a stray ref inside the agent's own call, and asked whether the ref was left behind once Rich recorded the branch and landed — esc-20260912T112834Z-91a77eef reproduced. Round 7 refuses the spawn with nothing recorded (register_spawn, point 14), so s.spawn() raises SpecError at the case's first act and the scenario — an agent's call open while nothing is recorded — cannot exist; measured at 44a7d5d4: held 6/8, NOT HELD escalation-stray, EXCEPTION SpecError "the spawn of zach-opus-e1 is refused". Its live half, a ref an agent creates in its own call is recorded against it and goes with its work, is asked by C10.5–C10.6 (mutant R-p10-created-branch-left-behind) and by R5 and R6 of certification-sage-runner-round-2026-09-12.probe.py, all green at 44a7d5d4. The escalation's own question — with no record, a created ref is attributed to nobody — has no subject once no agent can run with no record.
certification-sage-window-and-target-2026-09-12.probe.py	escalation-stray-cc	sage	Obsolete since round 7 (2026-09-12), for the same reason as escalation-stray: it is the same scenario with the stray named cc/zach-opus-e2-side, and the spawn with nothing recorded is refused before the ref can be created (measured at 44a7d5d4: EXCEPTION SpecError "the spawn of zach-opus-e2 is refused"). Its live half — a cc/ branch nobody registered is finished work of an ended session and the point-3 sweep lists it by name — is asked by C3.8–C3.9 (mutant R-p03-unregistered-branch-never-listed), green at 44a7d5d4. The six other cases of this file stand and keep running.
certification-frank-recorded-attribution-2026-09-12-probe.py	floor-trap	frank	Obsolete since round 7 (2026-09-12): the case registered an agent with NOTHING recorded, had Rich record dev/workspace-spec afterwards, merged, and asserted the land then succeeds — the late-record heal both round-6 reviewers ruled a guess (certification-frank-round6 §5: an agent bound to nothing was moved by a second recording while a bound control was not). The spawn with nothing recorded is now refused (register_spawn → _refuse_unrecorded, point 14; C14.1, mutant R-p14-spawn-not-refused-without-a-record), so the scenario cannot exist for a spawned agent; and the floor it was written against (the first-registration floor that froze the main checkout's branch onto the agent) was deleted before round 6. The property worth keeping — work merged onto its RECORDED dev branch, not main, lands and its workspace goes — is asserted green by floor-control in this same file and by C14.3 of the fourteen. Ruled by frank, certification-frank-round7-2026-09-12.md §4.
certification-frank-recorded-attribution-2026-09-12-probe.py	no-floor-self-heals	frank	Obsolete since round 7 (2026-09-12): its one assertion is "with NO record at all, a late recording DOES reach the land" — the heal itself, which I ruled a guess in certification-frank-round6 §5 and which round 7 removed. A spawn with nothing recorded is refused (C14.1), so the state the case needs cannot be reached for a spawned agent; the one record that can still be bound to nothing — a workspace the point-3 sweep finds unregistered — is refused until it binds at the first sweep after a body of work exists and is never read against "current" (workspaces.test.py test_point_14_a_record_bound_to_nothing_is_refused_never_guessed; I measured it red under the mutant p14-nothing-bound-falls-back-to-current, certification-frank-round7 §5 claim 3). The fixture's detached-checkout trick (_detach_entity) existed only to starve the deleted floor. Ruled by frank, certification-frank-round7-2026-09-12.md §4.
certification-frank-recorded-attribution-2026-09-12-probe.py	floor-timing	frank	Obsolete: the case located WHERE the first-registration floor read the main checkout's branch (the session start, not the first registration). The floor was deleted before round 6 (workspaces.py, "the deleted floor"), so there is no reading to locate; with the record now required before the first spawn (point 14, C14.1) its assertion rec["branch"] == "main" could only pass because the fixture recorded main, a tautology wearing the shape of a case. Ruled obsolete in certification-frank-runner-round-2026-09-12 §3 and unwritable then because retirement was per file; written now that it is per case. Ruled by frank, certification-frank-round7-2026-09-12.md §4.
certification-frank-window-and-target-2026-09-12-probe.py	late-record-stray	frank	Obsolete since round 7 (2026-09-12): the case spawned an agent with NOTHING recorded, created the ref inside the agent's call, and had Rich record the branch afterwards — the late-record scenario point 14 now refuses at the SPAWN (register_spawn → _refuse_unrecorded; C14.1, mutant R-p14-spawn-not-refused-without-a-record), so no agent can be registered before the record exists and the loss it measured (attribution-skipped, then a land that leaves the ref behind) cannot occur. The shape it protected is asserted GREEN with the record first: record-first-control in this same file (a side branch created in the call holds the land and is named), C10.5–C10.6 of the fourteen (a branch created in the agent's own call is recorded and deleted with its land), and serial-stray / serial-side / serial-rename in certification-frank-recorded-attribution-2026-09-12-probe.py, whose fixture now records the branch before the first spawn as point 14 requires (2026-09-12) and which hold 3/3 on cc/zach-fable-m3 @ 44a7d5d4. Ruled by frank, certification-frank-round7-2026-09-12.md §4.
